element;sp_num;obs_wl_air(A);unc_obs_wl;ritz_wl_air(A);unc_ritz_wl;intens;Aki(s^-1);Acc;Ei(cm-1);Ek(cm-1);conf_i;term_i;J_i;conf_k;term_k;J_k;Type;tp_ref;line_ref;
Ne;1;4413.561;0.020;4413.5572;0.0010;150;;;149824.2215;172475.321;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;2;;;L3469;
Ne;1;4415.141;0.020;4415.134;0.010;50;;;150121.5922;172764.60;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;1;;;L3469;
Ne;2;4416.7552;0.0017;4416.7570;0.0006;160;;;280268.9453;302903.635;2s2.2p4.(3P).3d;2D;5/2;2s2.2p4.(3P<2>).4f;2[2]*;5/2;;;L9088;
Ne;1;4416.817;0.020;4416.8152;0.0006;500;;;149824.2215;172458.613;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<1/2>).7d;2[5/2]*;3;;;L3469;
Ne;1;4420.558;0.020;4420.5903;0.0003;10;;;148257.7898;170872.8524;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).6d;2[5/2]*;2;;;L3469;
Ne;2;4421.3888;0.0006;4421.3894;0.0006;200;;;280989.5229;303600.498;2s2.2p4.(3P).3d;4P;3/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;;L5951;
Ne;1;4421.5553;0.0020;4421.5541;0.0004;500;;;148257.7898;170867.923;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).6d;2[3/2]*;1;;;L4498;
Ne;1;4422.5205;0.0004;4422.5191;0.0003;3000;;;148257.7898;170862.9893;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).6d;2[3/2]*;2;;;L3451;
Ne;8;4422.8;3.0;4420.6;3.0;20*;3.35e+07;A;[1818650];[1841265];1s2.8d;2D;3/2;1s2.9p;2P*;;;T7495LS;L9090;
Ne;8;4422.8;3.0;4422.2;3.0;20*;7.53e+07;A;[1818658];[1841265];1s2.8d;2D;5/2;1s2.9p;2P*;;;T7495LS;L9090;
Ne;1;4424.8065;0.0020;4424.8052;0.0003;3000;;;148257.7898;170851.3105;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).6d;2[1/2]*;1;;;L4498;
Ne;1;4425.4000;0.0010;4425.4000;0.0010;1500;;;148257.7898;170848.274;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).6d;2[1/2]*;0;;;L7292;
Ne;8;4426.8;1.5;4427.5;1.5;20;;;9118338;9140918;1s.2s.(3S).8f;4F*;;1s.2s.(3S).9d;4D;;;;L9090;
Ne;2;4427.108;0.020;4427.1080;0.0006;60;;;280262.3163;302844.085;2s2.2p4.(3P).3d;2F;7/2;2s2.2p4.(3P<2>).4f;2[3]*;5/2;;;L1406;
Ne;1;4427.755;0.020;4427.716;0.018;300;;;150772.1118;173350.78;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4427.981;0.020;4427.975;0.016;150;;;150772.1118;173349.46;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9d;2[5/2]*;2;;;L3469;
Ne;2;4428.4075;0.0019;4428.4080;0.0006;160bl;;;280268.9453;302844.085;2s2.2p4.(3P).3d;2D;5/2;2s2.2p4.(3P<2>).4f;2[3]*;5/2;;;L9088;
Ne;2;4428.520;0.008;4428.505;0.004;200bl*;;;306243.4077;328818.054;2s2.2p4.(1D).3d;2D;5/2;2s2.2p4.(1D<2>).4f;2[3]*;7/2;;;L5951;
Ne;2;4428.520;0.008;4428.5207;0.0006;200bl*;3.3e+07;D;281025.9326;303600.498;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;T1115CA,LS;L5951;
Ne;2;4428.520;0.008;4428.5210;0.0006;200bl*;;;280268.9453;302843.509;2s2.2p4.(3P).3d;2D;5/2;2s2.2p4.(3P<2>).4f;2[3]*;7/2;;;L5951;
Ne;2;4428.6359;0.0004;4428.6361;0.0004;200bl;;;281025.9326;303599.9098;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L9088;
Ne;1;4429.410;0.020;4429.405;0.016;10;;;151038.4524;173608.51;2s2.2p5.(2P*<1/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).10d;2[3/2]*;2;;;L3469;
Ne;2;4429.640;0.003;4429.6403;0.0006;180;;;280262.3163;302831.176;2s2.2p4.(3P).3d;2F;7/2;2s2.2p4.(3P<2>).4f;2[4]*;7/2;;;L1406;
Ne;7;;;4430;100;;7.8e+06;B;1171500;1194060;1s2.2p.3p;3P;0;1s2.2p.3d;3D*;1;;T5633c91,LS;;
Ne;2;4430.9018;0.0006;4430.9012;0.0006;300bl;;;280947.0768;303509.514;2s2.2p4.(3P).3d;4F;3/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L5951;
Ne;2;4430.9417;0.0004;4430.9418;0.0004;300bl;;;280268.9453;302831.176;2s2.2p4.(3P).3d;2D;5/2;2s2.2p4.(3P<2>).4f;2[4]*;7/2;;;L5951;
Ne;2;4431.105;0.020;4431.1086;0.0008;12;2.1e+07;D;280947.0768;303508.458;2s2.2p4.(3P).3d;4F;3/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;T1115CA,LS;L1406;
Ne;2;4431.810;0.003;4431.809;0.006;160*;;;306011.056;328568.87;2s2.2p4.(1D).3d;2S;1/2;2s2.2p4.(1D<2>).4f;2[1]*;1/2;;;L1406;
Ne;2;4431.810;0.003;4431.811;0.003;160*;;;306011.056;328568.864;2s2.2p4.(1D).3d;2S;1/2;2s2.2p4.(1D<2>).4f;2[1]*;3/2;;;L1406;
Ne;2;4432.303;0.003;4432.305;0.003;160;;;306262.755;328818.048;2s2.2p4.(1D).3d;2D;3/2;2s2.2p4.(1D<2>).4f;2[3]*;5/2;;;L1406;
Ne;1;4432.5166;0.0020;4432.5142;0.0012;200;;;149657.0392;172211.266;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).8d;2[5/2]*;3;;;L4498;
Ne;1;4433.398;0.020;4433.3980;0.0022;100;;;149657.0392;172206.770;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).8d;2[3/2]*;2;;;L3469;
Ne;1;4433.7239;0.0004;4433.7238;0.0004;700;;;149657.0392;172205.113;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).8d;2[7/2]*;4;;;L3451;
Ne;1;4435.094;0.020;4435.088;0.010;50;;;150315.8612;172857.00;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;1;;;L3469;
Ne;2;4436.979;0.020;4436.9777;0.0004;100;;;290371.9268;312903.4650;2s2.2p4.(3P).4p;4P*;5/2;2s2.2p4.(3P).6s;4P;5/2;;;L1406;
Ne;2;4439.2525;0.0008;4439.2528;0.0006;180;;;280989.5229;303509.514;2s2.2p4.(3P).3d;4P;3/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L5951;
Ne;2;4439.4610;0.0014;4439.4610;0.0008;180;;;280989.5229;303508.458;2s2.2p4.(3P).3d;4P;3/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;;L5951;
Ne;2;4439.9914;0.0022;4439.9904;0.0008;180;;;280473.5550;302989.805;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<2>).4f;2[1]*;3/2;;;L5951;
Ne;1;4440.363;0.020;4440.357;0.016;150*;;;150315.8612;172830.25;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;3;;;L3469;
Ne;1;4440.363;0.020;4440.367;0.016;150*;;;150315.8612;172830.20;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;2;;;L3469;
Ne;2;4440.804;0.003;4440.8039;0.0006;80;;;254164.9888;276677.1142;2s2.2p4.(3P).3p;2P*;3/2;2s2.2p4.(1S).3s;2S;1/2;;;L1406;
Ne;1;4440.812;0.020;4440.815;0.016;20;;;150315.8612;172827.93;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10d;2[3/2]*;2;;;L3469;
Ne;1;4440.890;0.020;4440.929;0.020;10;;;150315.8612;172827.35;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10d;2[7/2]*;3;;;L3469;
Ne;2;;;4441.0908;0.0004;;3.4e+05;D;224087.0092;246597.6805;2s2.2p4.(3P).3s;2P;3/2;2s2.2p4.(3P).3p;4P*;1/2;;T380;;
Ne;2;4442.6865;0.0014;4442.6878;0.0004;180;3.5e+06;D;281025.9326;303528.5122;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;T1115CA,LS;L5951;
Ne;1;4444.978;0.020;4444.973;0.012;300;;;150858.5079;173349.52;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).9d;2[5/2]*;3;;;L3469;
Ne;1;4445.671;0.020;4445.697;0.012;10;;;150772.1118;173259.46;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;1;;;L3469;
Ne;8;4445.8;1.5;4446.0;1.5;20;;;9117478;9139964;1s.2s.(3S).8d;4D;;1s.2s.(3S).9p;4P*;;;;L9090;
Ne;2;4446.4398;0.0017;4446.4418;0.0006;180;;;281025.9326;303509.514;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L9088;
Ne;1;4446.538;0.020;4446.531;0.012;10;;;150772.1118;173255.24;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;0;;;L3469;
Ne;2;;;4446.6507;0.0008;;5.2e+06;D;281025.9326;303508.458;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;T1115CA,LS;;
Ne;2;4452.607;0.003;4452.606;0.003;140;;;306243.4077;328695.864;2s2.2p4.(1D).3d;2D;5/2;2s2.2p4.(1D<2>).4f;2[2]*;5/2;;;L1406;
Ne;3;4452.79;0.10;4452.71;0.08;2000wl*;3.4e+07;D;449552.15+x;472004.1+x;2s2.2p3.(4S*).4f;5F;5;2s2.2p3.(4S*).5g;5G*;6;;T8046;L10704;
Ne;3;4452.79;0.10;4452.75;0.08;2000wl*;3.1e+08;D;449552.39+x;472004.1+x;2s2.2p3.(4S*).4f;5F;4;2s2.2p3.(4S*).5g;5G*;5;;T8046;L10704;
Ne;3;4452.79;0.10;4452.83;0.08;2000wl*;2.8e+08;D;449552.77+x;472004.1+x;2s2.2p3.(4S*).4f;5F;3;2s2.2p3.(4S*).5g;5G*;4;;T8046;L10704;
Ne;3;4452.79;0.10;4452.86;0.10;2000wl*;;;449552.9+x;472004.1+x;2s2.2p3.(4S*).4f;5F;1;2s2.2p3.(4S*).5g;5G*;2;;;L10704;
Ne;3;4452.79;0.10;4452.87;0.10;2000wl*;2.6e+08;D;449553.0+x;472004.1+x;2s2.2p3.(4S*).4f;5F;2;2s2.2p3.(4S*).5g;5G*;3;;T8046;L10704;
Ne;1;4452.983;0.020;4452.988;0.012;150;;;150121.5922;172572.12;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).9d;2[5/2]*;2;;;L3469;
Ne;1;4453.253;0.020;4453.244;0.010;50;;;150121.5922;172570.83;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4453.324;0.020;4453.343;0.010;20;;;150315.8612;172764.60;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;1;;;L3469;
Ne;1;4453.528;0.020;4453.528;0.008;10;;;150121.5922;172569.40;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;2;;;L3469;
Ne;1;4454.285;0.020;4454.292;0.012;50;;;150315.8612;172759.82;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;2;;;L3469;
Ne;1;4455.564;0.020;4455.5700;0.0008;150;;;149824.2215;172261.741;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<1/2>).8s;2[1/2]*;1;;;L3469;
Ne;1;4456.380;0.020;4456.398;0.018;10;;;150917.4307;173350.78;2s2.2p5.(2P*<3/2>).3p;2[1/2];0;2s2.2p5.(2P*<1/2>).9d;2[3/2]*;1;;;L3469;
Ne;2;4456.445;0.003;4456.442;0.003;80;;;306262.755;328695.882;2s2.2p4.(1D).3d;2D;3/2;2s2.2p4.(1D<2>).4f;2[2]*;3/2;;;L1406;
Ne;2;4457.0473;0.0006;4457.0479;0.0006;240;;;280473.5550;302903.635;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<2>).4f;2[2]*;5/2;;;L9088;
Ne;2;4457.242;0.012;4457.2344;0.0006;100*;;;281171.3566;303600.498;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;;L1406;
Ne;2;4457.242;0.012;4457.2621;0.0008;100*;;;280473.5550;302902.557;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<2>).4f;2[2]*;3/2;;;L1406;
Ne;2;4457.3507;0.0016;4457.3513;0.0006;160;;;281171.3566;303599.9098;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L9088;
Ne;3;4458.763;0.010;4458.762;0.010;500;3.4e+08;D;449582.924;472004.38;2s2.2p3.(4S*).4f;3F;4;2s2.2p3.(4S*).5g;3G*;5;;T8046;L10704;
Ne;3;4458.862;0.010;4458.861;0.010;400;3.2e+08;D;449583.48;472004.44;2s2.2p3.(4S*).4f;3F;3;2s2.2p3.(4S*).5g;3G*;4;;T8046;L10704;
Ne;3;4458.94;0.10;4458.95;0.10;300;3.1e+08;D;449584.03;472004.52;2s2.2p3.(4S*).4f;3F;2;2s2.2p3.(4S*).5g;3G*;3;;T8046;L10704;
Ne;1;4460.1750;0.0010;4460.1758;0.0014;1000;;;149657.0392;172071.389;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).9s;2[3/2]*;2;;;L7292;
Ne;3;4460.54;0.10;4460.46;0.10;1000ws,bl*;;;490832.60;513245.5;2s2.2p3.(2D*).4f;3H;5;2s2.2p3.(2D*).5g;3I*;6;;;L10704;
Ne;3;4460.54;0.10;4460.65;0.10;1000ws,bl*;3.4e+08;D;490833.55;513245.5;2s2.2p3.(2D*).4f;3H;6;2s2.2p3.(2D*).5g;3I*;7;;T8046;L10704;
Ne;3;4460.54;0.10;4460.73;0.10;1000ws,bl*;;;490833.93;513245.5;2s2.2p3.(2D*).4f;1G;4;2s2.2p3.(2D*).5g;3I*;5;;;L10704;
Ne;1;4462.856;0.020;4462.843;0.012;20;;;150858.5079;173259.46;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;1;;;L3469;
Ne;1;4465.6544;0.0020;4465.6477;0.0020;500;;;149824.2215;172211.107;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).8d;2[5/2]*;2;;;L4498;
Ne;2;4466.037;0.010;4466.0346;0.0006;40bl;;;254292.1683;276677.1142;2s2.2p4.(3P).3p;2P*;1/2;2s2.2p4.(1S).3s;2S;1/2;;;L1406;
Ne;1;4466.045;0.020;4466.038;0.010;50;;;149824.2215;172209.15;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).8d;2[3/2]*;1;;;L3469;
Ne;1;4466.503;0.020;4466.5130;0.0022;20;;;149824.2215;172206.770;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).8d;2[3/2]*;2;;;L3469;
Ne;1;4466.8120;0.0004;4466.8120;0.0004;700;;;149824.2215;172205.272;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).8d;2[7/2]*;3;;;L3451;
Ne;1;4467.491;0.020;4467.4894;0.0022;10;;;149824.2215;172201.878;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).8d;2[1/2]*;1;;;L3469;
Ne;2;4467.735;0.020;4467.7371;0.0004;40;;;290803.7989;313180.2149;2s2.2p4.(3P).4p;4P*;1/2;2s2.2p4.(3P).6s;2P;3/2;;;L1406;
Ne;2;4468.9132;0.0008;4468.9127;0.0006;180;;;280473.5550;302844.085;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<2>).4f;2[3]*;5/2;;;L5951;
Ne;1;4470.971;0.020;4470.9682;0.0004;50*;;;150121.5922;172481.8376;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;1;;;L3469;
Ne;1;4470.971;0.020;4470.99;0.03;50*;;;150917.4307;173277.59;2s2.2p5.(2P*<3/2>).3p;2[1/2];0;2s2.2p5.(2P*<3/2>).13d;2[1/2]*;1;;;L3469;
Ne;3;4471.04;0.10;4470.98;0.10;70w;2.7e+08;D;490885.32;513245.5;2s2.2p3.(2D*).4f;3H;4;2s2.2p3.(2D*).5g;3I*;5;;T8046;L10704;
Ne;2;4471.586;0.003;4471.5861;0.0004;160;;;281171.3566;303528.5122;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;;L1406;
Ne;1;4472.246;0.020;4472.2716;0.0010;10*;;;150121.5922;172475.321;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;2;;;L3469;
Ne;1;4472.246;0.020;4472.216;0.018;10*;;;150772.1118;173126.12;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).13s;2[3/2]*;2;;;L3469;
Ne;1;4475.131;0.020;4475.1455;0.0022;50;;;150121.5922;172460.966;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).7d;2[3/2]*;1;;;L3469;
Ne;2;4475.390;0.003;4475.3892;0.0006;60;;;281171.3566;303509.514;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L1406;
Ne;1;4475.6560;0.0010;4475.6542;0.0014;1000;;;150121.5922;172458.427;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).7d;2[5/2]*;2;;;L7292;
Ne;2;4477.4;0.5;4477.4241;0.0003;;;;224087.0092;246415.0144;2s2.2p4.(3P).3s;2P;3/2;2s2.2p4.(3P).3p;4P*;3/2;;;L9088c153;
Ne;2;4477.934;0.003;4477.935;0.003;22;;;306243.4077;328568.864;2s2.2p4.(1D).3d;2D;5/2;2s2.2p4.(1D<2>).4f;2[1]*;3/2;;;L1406;
Ne;1;4480.823;0.020;4480.825;0.016;150;;;151038.4524;173349.51;2s2.2p5.(2P*<1/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).9d;2[3/2]*;2;;;L3469;
Ne;7;;;4483;24;;1.02e+07;B;1172020;1194320;1s2.2p.3p;3P;1;1s2.2p.3d;3D*;2;;T5633c91,LS;;
Ne;1;4483.1900;0.0010;4483.1961;0.0003;1500;;;148257.7898;170557.0484;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).7s;2[3/2]*;1;;;L7292;
Ne;1;4488.0926;0.0004;4488.0933;0.0003;3000;;;148257.7898;170532.7169;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).7s;2[3/2]*;2;;;L3451;
Ne;6;;;4490;100;;5.4e+05;B;1139000;1161252;2s.2p.(3P*).4d;2F*;7/2;2s2.6d;2D;5/2;;T7192c91,LS;;
Ne;1;4491.7716;0.0020;4491.7702;0.0010;800;;;149824.2215;172080.915;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9s;2[3/2]*;1;;;L4498;
Ne;1;4491.838;0.020;4491.838;0.012;500;;;150315.8612;172572.22;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).9d;2[5/2]*;3;;;L3469;
Ne;1;4492.132;0.020;4492.118;0.010;50;;;150315.8612;172570.83;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4492.412;0.020;4492.407;0.008;300;;;150315.8612;172569.40;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;2;;;L3469;
Ne;1;4492.689;0.020;4492.6729;0.0010;150;;;150315.8612;172568.083;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).9d;2[7/2]*;3;;;L3469;
Ne;1;4493.108;0.020;4493.108;0.010;50;;;150315.8612;172565.93;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).9d;2[1/2]*;1;;;L3469;
Ne;1;4493.699;0.020;4493.6936;0.0014;500;;;149824.2215;172071.389;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9s;2[3/2]*;2;;;L3469;
Ne;8;4495.7;1.5;4495.5;1.5;100;;;9116487;9138725;1s.2s.(3S).8p;4P*;;1s.2s.(3S).9s;4S;3/2;;;L9090;
Ne;2;4496.243;0.003;4496.2438;0.0006;60;2.1e+06;D;280700.7426;302935.2919;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<2>).4f;2[5]*;9/2;;T1115CA,LS;L1406;
Ne;2;4498.9247;0.0010;4498.9253;0.0008;180;;;280768.508;302989.805;2s2.2p4.(3P).3d;4P;1/2;2s2.2p4.(3P<2>).4f;2[1]*;3/2;;;L9088;
Ne;1;4499.000;0.020;4498.984;0.012;20;;;151038.4524;173259.46;2s2.2p5.(2P*<1/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;1;;;L3469;
Ne;2;4499.1166;0.0018;4499.1169;0.0018;180;;;280768.508;302988.859;2s2.2p4.(3P).3d;4P;1/2;2s2.2p4.(3P<2>).4f;2[1]*;1/2;;;L5951;
Ne;1;4499.843;0.020;4499.820;0.014;50*;;;150772.1118;172988.99;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8d;2[3/2]*;1;;;L3469;
Ne;1;4499.843;0.020;4499.839;0.012;50*;;;151038.4524;173255.24;2s2.2p5.(2P*<1/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;0;;;L3469;
Ne;1;4500.1820;0.0010;4500.1819;0.0010;500;;;150772.1118;172987.204;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8d;2[5/2]*;2;;;L7292;
Ne;8;4500.7;4.0;4501.2;1.4;20bl;;;[1870404.9];[1892615];1s2.11[k-n];;;1s2.14[f-r];;;;;L9090;
Ne;7;;;4506;16;;1.34e+07;B;1172350;1194538;1s2.2p.3p;3P;2;1s2.2p.3d;3D*;3;;T5633c91,LS;;
Ne;2;4508.1286;0.0012;4508.1279;0.0008;180;;;281332.521;303508.458;2s2.2p4.(3P).3d;2P;1/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;;L9088;
Ne;1;4510.170;0.020;4510.1537;0.0004;150;;;150315.8612;172481.8376;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;1;;;L3469;
Ne;2;4511.420;0.003;4511.420;0.003;160;;;306687.271;328847.027;2s2.2p4.(1D).3d;2F;5/2;2s2.2p4.(1D<2>).4f;2[4]*;7/2;;;L1406;
Ne;2;4511.478;0.003;4511.478;0.003;160;;;306687.654;328847.124;2s2.2p4.(1D).3d;2F;7/2;2s2.2p4.(1D<2>).4f;2[4]*;9/2;;;L1406;
Ne;1;4511.509;0.020;4511.48;0.03;200*;;;150858.5079;173017.98;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).11d;2[1/2]*;1;;;L3469;
Ne;1;4511.509;0.020;4511.4800;0.0010;200*;;;150315.8612;172475.321;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;2;;;L3469;
Ne;2;4514.884;0.003;4514.8813;0.0008;140;;;280700.7426;302843.509;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<2>).4f;2[3]*;7/2;;;L1406;
Ne;1;4514.891;0.020;4514.8843;0.0006;700;;;150315.8612;172458.613;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).7d;2[5/2]*;3;;;L3469;
Ne;1;4515.022;0.020;4515.0454;0.0016;20;;;150315.8612;172457.823;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).7d;2[3/2]*;2;;;L3469;
Ne;1;4515.411;0.020;4515.4151;0.0008;300;;;150121.5922;172261.741;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8s;2[1/2]*;1;;;L3469;
Ne;2;4516.663;0.003;4516.6595;0.0008;60;;;280768.508;302902.557;2s2.2p4.(3P).3d;4P;1/2;2s2.2p4.(3P<2>).4f;2[2]*;3/2;;;L1406;
Ne;1;4516.936;0.020;4516.9342;0.0018;500;;;150121.5922;172254.295;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8s;2[1/2]*;0;;;L3469;
Ne;2;4517.329;0.003;4517.327;0.003;80;;;306687.271;328818.048;2s2.2p4.(1D).3d;2F;5/2;2s2.2p4.(1D<2>).4f;2[3]*;5/2;;;L1406;
Ne;2;;;4517.3974;0.0006;m;;;280700.7426;302831.176;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<2>).4f;2[4]*;7/2;;;L1406;
Ne;2;4517.404;0.003;4517.404;0.003;120;;;306687.654;328818.054;2s2.2p4.(1D).3d;2F;7/2;2s2.2p4.(1D<2>).4f;2[3]*;7/2;;;L1406;
Ne;1;4517.7360;0.0010;4517.7360;0.0010;1000;;;150858.5079;172987.283;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).8d;2[5/2]*;3;;;L7292;
Ne;2;4517.8334;0.0016;4517.8324;0.0006;160;;;280700.7426;302829.0453;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<2>).4f;2[4]*;9/2;;;L5951;
Ne;2;4522.314;0.003;4522.3094;0.0009;60;;;280797.2387;302903.635;2s2.2p4.(3P).3d;4F;5/2;2s2.2p4.(3P<2>).4f;2[2]*;5/2;;;L1406;
