element;sp_num;obs_wl_air(A);unc_obs_wl;ritz_wl_air(A);unc_ritz_wl;intens;Aki(s^-1);Acc;Ei(cm-1);Ek(cm-1);conf_i;term_i;J_i;conf_k;term_k;J_k;Type;tp_ref;line_ref;
Ne;2;4294.27;0.02;4294.2848;0.0004;19;;;290371.9268;313652.1424;2s2.2p4.(3P).4p;4P*;5/2;2s2.2p4.(3P).6s;4P;3/2;;;L11529c153;
Ne;2;4298.094;0.020;4298.0971;0.0004;12;;;280268.9453;303528.5122;2s2.2p4.(3P).3d;2D;5/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;;L1406;
Ne;1;4303.248;0.020;4303.2535;0.0009;300;;;148257.7898;171489.486;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).8s;2[3/2]*;1;;;L3469;
Ne;1;4303.695;0.020;4303.718;0.017;10;;;150121.5922;173350.78;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4303.955;0.020;4303.963;0.015;50;;;150121.5922;173349.46;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9d;2[5/2]*;2;;;L3469;
Ne;1;4306.2508;0.0020;4306.2518;0.0008;700;;;148257.7898;171473.311;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).8s;2[3/2]*;2;;;L4498;
Ne;1;4310.130;0.020;4310.131;0.020;20;;;149824.2215;173018.85;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).11d;2[7/2]*;3;;;L3469;
Ne;8;4313.8;1.5;4313.8;1.5;100;;;9118338;9141513;1s.2s.(3S).8f;4F*;;1s.2s.(3S).9g;4G;;;;L9090;
Ne;1;4314.110;0.020;4314.114;0.015;10;;;149657.0392;172830.25;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;3;;;L3469;
Ne;1;4314.695;0.020;4314.695;0.020;300;;;149657.0392;172827.13;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).10d;2[7/2]*;4;;;L3469;
Ne;1;4316.008;0.020;4316.0048;0.0010;150;;;149824.2215;172987.283;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<1/2>).8d;2[5/2]*;3;;;L3469;
Ne;1;4318.834;0.020;4318.8005;0.0008;50;;;149824.2215;172972.289;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).12s;2[3/2]*;1;;;L3469;
Ne;1;4319.511;0.020;4319.506;0.015;10;;;149824.2215;172968.51;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).12s;2[3/2]*;2;;;L3469;
Ne;1;4321.492;0.020;4321.493;0.011;20;;;150121.5922;173255.24;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;0;;;L3469;
Ne;2;4322.371;0.003;4322.372;0.003;160;;;305566.923;328695.864;2s2.2p4.(1D).3d;2P;3/2;2s2.2p4.(1D<2>).4f;2[2]*;5/2;;;L1406;
Ne;2;4322.742;0.008;4322.7454;0.0006;140;;;280473.5550;303600.498;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;;L9088;
Ne;2;4324.62;0.02;4324.6132;0.0006;30;;;290583.1503;313700.1049;2s2.2p4.(3P).4p;4P*;3/2;2s2.2p4.(3P).6s;4P;1/2;;;L11529c153;
Ne;2;4325.232;0.003;4325.235;0.003;120;;;305582.249;328695.882;2s2.2p4.(1D).3d;2P;1/2;2s2.2p4.(1D<2>).4f;2[2]*;3/2;;;L1406;
Ne;1;4327.265;0.020;4327.266;0.011;100;;;149657.0392;172759.82;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;2;;;L3469;
Ne;8;4331.8;2.0;4330.8;2.0;200*;2.01e+08;A;[1818650];[1841734];1s2.8d;2D;3/2;1s2.9f;2F*;;;T7495LS;L9090;
Ne;8;4331.8;2.0;4332.3;2.0;200*;1.29e+08;A;[1818658];[1841734];1s2.8d;2D;5/2;1s2.9f;2F*;;;T7495LS;L9090;
Ne;1;4334.1267;0.0004;4334.1253;0.0003;700;;;148257.7898;171324.0107;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).7s;2[1/2]*;1;;;L3451;
Ne;1;4336.2268;0.0020;4336.2251;0.0003;500;;;148257.7898;171312.8413;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).7s;2[1/2]*;0;;;L4498;
Ne;8;4337.72;0.04;4337.72;0.04;400;2.93e+08;A;[1818691.1];[1841738.2];1s2.8f;2F*;;1s2.9g;2G;;;T7495;L9090;
Ne;1;4338.200;0.020;4338.200;0.021;20;;;150121.5922;173166.15;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).12d;2[5/2]*;2;;;L3469;
Ne;7;4339.5;1.5;4339.4;1.5;100;;;1156150;1179188;1s2.2p.3p;3D;3;1s2.2p.3d;3F*;4;;;L9089;
Ne;2;4339.8209;0.0015;4339.8191;0.0006;160;;;280473.5550;303509.514;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L9088;
Ne;8;4339.99;0.04;4340.00;0.04;400;3.87e+08;A;[1818704.9];[1841739.9];1s2.8g;2G;;1s2.9h;2H*;;;T7495;L9090;
Ne;8;4340;3;4340;3;400bl*;;;9118602;9141637;1s.2s.(3S).8g;4G;;1s.2s.(3S).9h;4H*;;;;L9090;
Ne;6;;;4340;100;;6.3e+05;B;1138200;1161238;2s.2p.(3P*).4d;2F*;5/2;2s2.6d;2D;3/2;;T7192c91,LS;;
Ne;8;4340;3;4339;3;400bl*;;;9118529;[9141567];1s.2s.(3S).8k;4K*;;1s.2s.(3S).9l;4L;;;;L9090;
Ne;6;;;4340;100;;3.0e+04;C;1138200;1161252;2s.2p.(3P*).4d;2F*;5/2;2s2.6d;2D;5/2;;T7192c91,LS;;
Ne;2;4340.020;0.020;4340.0180;0.0008;40;;;280473.5550;303508.458;2s2.2p4.(3P).3d;2D;3/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;;L1406;
Ne;1;4340.256;0.020;4340.252;0.011;20;;;150315.8612;173349.52;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).9d;2[5/2]*;3;;;L3469;
Ne;1;4340.420;0.020;4340.418;0.009;20;;;149824.2215;172857.00;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;1;;;L3469;
Ne;8;4340.9;0.6;4340.6;0.6;400*;5.04e+08;A;[1818709];[1841740.9];1s2.8h;2H*;;1s2.9i;2I;;;T7495;L9090;
Ne;8;4340.9;0.6;4340.6;0.6;400*;6.51e+08;A;[1818710];[1841741.7];1s2.8i;2I;;1s2.9k;2K*;;;T7495;L9090;
Ne;8;4340.9;0.6;4340.7;0.6;400*;8.3e+08;A;[1818711];[1841742.2];1s2.8k;2K*;;1s2.9l;2L;;;T7495;L9090;
Ne;8;;;4341;10;;1.37e+07;A;[1818709];[1841738.2];1s2.8h;2H*;;1s2.9g;2G;;;T7495;;
Ne;8;;;4341;10;;6.33e+06;A;[1818710];[1841739.9];1s2.8i;2I;;1s2.9h;2H*;;;T7495;;
Ne;8;;;4341;10;;2.49e+07;A;[1818704.9];[1841734];1s2.8g;2G;;1s2.9f;2F*;;;T7495;;
Ne;8;;;4341;10;;1.98e+06;A;[1818711];[1841740.9];1s2.8k;2K*;;1s2.9i;2I;;;T7495;;
Ne;2;4341.514;0.003;4341.5126;0.0004;160;;;280797.2387;303824.2119;2s2.2p4.(3P).3d;4F;5/2;2s2.2p4.(3P<0>).4f;2[3]*;7/2;;;L1406;
Ne;2;4342.198;0.020;4342.2068;0.0006;22;;;282375.3049;305398.5968;2s2.2p4.(3P).4s;4P;3/2;2s2.2p4.(1S).3p;2P*;3/2;;;L1406;
Ne;8;;;4345;10;;4.24e+07;A;[1818691.1];[1841702];1s2.8f;2F*;;1s2.9d;2D;;;T7495;;
Ne;1;4345.479;0.020;4345.465;0.015;20*;;;149824.2215;172830.25;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;3;;;L3469;
Ne;1;4345.479;0.020;4345.475;0.015;20*;;;149824.2215;172830.20;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;2;;;L3469;
Ne;1;4345.762;0.020;4345.749;0.017;10;;;150121.5922;173126.12;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).13s;2[3/2]*;2;;;L3469;
Ne;1;4346.036;0.020;4346.013;0.019;150;;;149824.2215;172827.35;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).10d;2[7/2]*;3;;;L3469;
Ne;2;4346.239;0.003;4346.237;0.003;160;;;305566.923;328568.864;2s2.2p4.(1D).3d;2P;3/2;2s2.2p4.(1D<2>).4f;2[1]*;3/2;;;L1406;
Ne;2;4349.135;0.010;4349.134;0.006;40w;;;305582.249;328568.87;2s2.2p4.(1D).3d;2P;1/2;2s2.2p4.(1D<2>).4f;2[1]*;1/2;;;L1406;
Ne;1;4357.298;0.020;4357.289;0.011;20;;;150315.8612;173259.46;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).10s;2[1/2]*;1;;;L3469;
Ne;1;4357.918;0.020;4357.901;0.010;50;;;149824.2215;172764.60;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;1;;;L3469;
Ne;1;4358.816;0.020;4358.809;0.011;20;;;149824.2215;172759.82;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;2;;;L3469;
Ne;1;4362.690;0.020;4362.693;0.011;300;;;149657.0392;172572.22;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).9d;2[5/2]*;3;;;L3469;
Ne;1;4363.228;0.020;4363.230;0.008;20;;;149657.0392;172569.40;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;2;;;L3469;
Ne;1;4363.5240;0.0010;4363.5240;0.0010;700;;;149657.0392;172567.857;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).9d;2[7/2]*;4;;;L7292;
